料理名,説明,材料,手順,カロリー,タンパク質,脂質,炭水化物,カテゴリ,画像パス
鶏むね肉の柔らかネギ塩だれ,パサつきがちな鶏むね肉をしっとり仕上げるプロの技。,"鶏むね肉 150g
長ネギ 1/2本
片栗粉 大さじ1
酒 大さじ1
【タレ】鶏ガラスープの素 小さじ1
【タレ】レモン汁 小さじ1
【タレ】ごま油 大さじ1
【タレ】塩こしょう 少々","1. 鶏むね肉は削ぎ切りにし、ポリ袋に入れて酒と塩少々を揉み込み10分置く。
2. ネギはみじん切りにし、【タレ】の材料と混ぜ合わせておく。
3. 鶏肉に片栗粉を薄くまぶす。
4. フライパンに油をひき、鶏肉を中火で焼く。焼き色がついたら裏返し、蓋をして弱火で3分蒸し焼きにする。
5. 皿に盛り、特製ネギ塩だれをたっぷりかける。",587,35.4,18.2,65.8,lunch,
きのことベーコンの和風パスタ,バター醤油の香りが食欲をそそる時短ランチ。,"スパゲッティ 100g
しめじ 1/2パック
舞茸 1/2パック
ベーコン 2枚
バター 10g
醤油 大さじ1
刻み海苔 適量","1. 鍋に湯を沸かし、塩を入れてパスタを表示時間より1分短く茹でる。
2. フライパンにオリーブオイルを引き、短冊切りのベーコンときのこ類を炒める。
3. パスタの茹で汁お玉1杯分をフライパンに加え、乳化させる。
4. 茹で上がったパスタとバター、醤油を加え、手早く混ぜ合わせる。
5. 器に盛り、刻み海苔を散らす。",646,19.9,24.9,84.5,lunch,
豚肉と彩り野菜のオイスター炒め,ご飯が進む味付けですが、野菜たっぷりでヘルシー。,"豚こま切れ肉 100g
ピーマン 2個
パプリカ（赤） 1/4個
玉ねぎ 1/4個
片栗粉 小さじ1
【A】オイスターソース 大さじ1
【A】酒 大さじ1
【A】醤油 小さじ1","1. 豚肉は一口大に切り、酒と塩胡椒（分量外）を振り、片栗粉をまぶす。
2. ピーマン、パプリカは細切り、玉ねぎはくし形に切る。
3. フライパンにごま油を熱し、豚肉を中火で炒める。
4. 肉の色が変わったら野菜を加え、強火でサッと炒め合わせる。
5. 合わせた【A】を回し入れ、全体に絡んだら完成。",607,24.5,21.5,68.6,lunch,
鶏むね肉の柔らかネギ塩だれ,パサつきがちな鶏むね肉をしっとり仕上げるプロの技。,"鶏むね肉 150g
長ネギ 1/2本
片栗粉 大さじ1
酒 大さじ1
【タレ】鶏ガラスープの素 小さじ1
【タレ】レモン汁 小さじ1
【タレ】ごま油 大さじ1
【タレ】塩こしょう 少々","1. 鶏むね肉は削ぎ切りにし、ポリ袋に入れて酒と塩少々を揉み込み10分置く。
2. ネギはみじん切りにし、【タレ】の材料と混ぜ合わせておく。
3. 鶏肉に片栗粉を薄くまぶす。
4. フライパンに油をひき、鶏肉を中火で焼く。焼き色がついたら裏返し、蓋をして弱火で3分蒸し焼きにする。
5. 皿に盛り、特製ネギ塩だれをたっぷりかける。",604,36.4,18.7,67.7,lunch,
きのことベーコンの和風パスタ,バター醤油の香りが食欲をそそる時短ランチ。,"スパゲッティ 100g
しめじ 1/2パック
舞茸 1/2パック
ベーコン 2枚
バター 10g
醤油 大さじ1
刻み海苔 適量","1. 鍋に湯を沸かし、塩を入れてパスタを表示時間より1分短く茹でる。
2. フライパンにオリーブオイルを引き、短冊切りのベーコンときのこ類を炒める。
3. パスタの茹で汁お玉1杯分をフライパンに加え、乳化させる。
4. 茹で上がったパスタとバター、醤油を加え、手早く混ぜ合わせる。
5. 器に盛り、刻み海苔を散らす。",627,19.3,24.1,82.0,lunch,
豚肉と彩り野菜のオイスター炒め,ご飯が進む味付けですが、野菜たっぷりでヘルシー。,"豚こま切れ肉 100g
ピーマン 2個
パプリカ（赤） 1/4個
玉ねぎ 1/4個
片栗粉 小さじ1
【A】オイスターソース 大さじ1
【A】酒 大さじ1
【A】醤油 小さじ1","1. 豚肉は一口大に切り、酒と塩胡椒（分量外）を振り、片栗粉をまぶす。
2. ピーマン、パプリカは細切り、玉ねぎはくし形に切る。
3. フライパンにごま油を熱し、豚肉を中火で炒める。
4. 肉の色が変わったら野菜を加え、強火でサッと炒め合わせる。
5. 合わせた【A】を回し入れ、全体に絡んだら完成。",627,25.3,22.3,70.9,lunch,
鶏むね肉の柔らかネギ塩だれ,パサつきがちな鶏むね肉をしっとり仕上げるプロの技。,"鶏むね肉 150g
長ネギ 1/2本
片栗粉 大さじ1
酒 大さじ1
【タレ】鶏ガラスープの素 小さじ1
【タレ】レモン汁 小さじ1
【タレ】ごま油 大さじ1
【タレ】塩こしょう 少々","1. 鶏むね肉は削ぎ切りにし、ポリ袋に入れて酒と塩少々を揉み込み10分置く。
2. ネギはみじん切りにし、【タレ】の材料と混ぜ合わせておく。
3. 鶏肉に片栗粉を薄くまぶす。
4. フライパンに油をひき、鶏肉を中火で焼く。焼き色がついたら裏返し、蓋をして弱火で3分蒸し焼きにする。
5. 皿に盛り、特製ネギ塩だれをたっぷりかける。",579,35.0,18.0,64.9,lunch,
基本のぶり大根,味が染み込んだ大根が主役。冬の定番メニュー。,"ぶり切り身 2切れ
大根 1/3本
生姜 1片
水 300ml
【A】酒 100ml
【A】醤油 大さじ3
【A】みりん 大さじ2
【A】砂糖 大さじ2","1. 大根は2cm厚さの半月切りにし、米のとぎ汁（または水）で竹串が通るまで下茹でする。
2. ぶりは一口大に切り、熱湯を回しかけて霜降りにし、冷水で洗って臭みを取る。
3. 鍋に水、【A】、スライスした生姜を入れて煮立たせる。
4. ぶりと大根を入れ、落とし蓋をして中火で20分煮込む。
5. 一度冷まして味を含ませてから、温め直して食べるのがおすすめ。",457,28.6,23.8,33.4,dinner,
豆腐ハンバーグのおろしポン酢,お肉少なめでヘルシーなのに満足感のある一品。,"鶏ひき肉 150g
木綿豆腐 150g
玉ねぎ 1/4個
パン粉 大さじ3
片栗粉 大さじ1
大根おろし 適量
ポン酢 適量
大葉 2枚","1. 木綿豆腐はキッチンペーパーに包み、レンジで2分加熱して水切りする。
2. 玉ねぎはみじん切りにし、レンジで1分加熱して冷ます。
3. ボウルにひき肉、豆腐、玉ねぎ、パン粉、片栗粉、塩コショウを入れ、粘りが出るまでよく捏ねる。
4. 小判型に成形し、油を引いたフライパンで焼く。焼き色がついたら裏返し、蓋をして弱火で5分蒸し焼きにする。
5. 皿に盛り、大葉と大根おろしを乗せ、ポン酢をかける。",435,29.0,18.6,31.1,dinner,
鮭のちゃんちゃん焼き風ホイル焼き,洗い物削減！味噌バターが野菜と魚に絡む北海道の味。,"生鮭 1切れ
キャベツ 2枚
玉ねぎ 1/4個
人参 3cm
しめじ 1/4パック
バター 10g
【味噌ダレ】味噌 大さじ1、みりん 大さじ1、酒 小さじ1","1. キャベツはざく切り、玉ねぎはスライス、人参は短冊切りにする。味噌ダレは混ぜておく。
2. アルミホイルを広げ、野菜を敷き詰め、その上に鮭を乗せる。
3. 味噌ダレを全体にかけ、一番上にバターを乗せる。
4. ホイルの口をしっかり閉じ、フライパンに並べる。水100ml（分量外）を注ぎ、蓋をして中火で10〜12分蒸し焼きにする。
5. ホイルを開け、全体を混ぜながら食べる。",378,24.9,19.9,24.9,dinner,
基本のぶり大根,味が染み込んだ大根が主役。冬の定番メニュー。,"ぶり切り身 2切れ
大根 1/3本
生姜 1片
水 300ml
【A】酒 100ml
【A】醤油 大さじ3
【A】みりん 大さじ2
【A】砂糖 大さじ2","1. 大根は2cm厚さの半月切りにし、米のとぎ汁（または水）で竹串が通るまで下茹でする。
2. ぶりは一口大に切り、熱湯を回しかけて霜降りにし、冷水で洗って臭みを取る。
3. 鍋に水、【A】、スライスした生姜を入れて煮立たせる。
4. ぶりと大根を入れ、落とし蓋をして中火で20分煮込む。
5. 一度冷まして味を含ませてから、温め直して食べるのがおすすめ。",480,30.0,25.0,35.0,dinner,
豆腐ハンバーグのおろしポン酢,お肉少なめでヘルシーなのに満足感のある一品。,"鶏ひき肉 150g
木綿豆腐 150g
玉ねぎ 1/4個
パン粉 大さじ3
片栗粉 大さじ1
大根おろし 適量
ポン酢 適量
大葉 2枚","1. 木綿豆腐はキッチンペーパーに包み、レンジで2分加熱して水切りする。
2. 玉ねぎはみじん切りにし、レンジで1分加熱して冷ます。
3. ボウルにひき肉、豆腐、玉ねぎ、パン粉、片栗粉、塩コショウを入れ、粘りが出るまでよく捏ねる。
4. 小判型に成形し、油を引いたフライパンで焼く。焼き色がついたら裏返し、蓋をして弱火で5分蒸し焼きにする。
5. 皿に盛り、大葉と大根おろしを乗せ、ポン酢をかける。",409,27.3,17.5,29.2,dinner,
鮭のちゃんちゃん焼き風ホイル焼き,洗い物削減！味噌バターが野菜と魚に絡む北海道の味。,"生鮭 1切れ
キャベツ 2枚
玉ねぎ 1/4個
人参 3cm
しめじ 1/4パック
バター 10g
【味噌ダレ】味噌 大さじ1、みりん 大さじ1、酒 小さじ1","1. キャベツはざく切り、玉ねぎはスライス、人参は短冊切りにする。味噌ダレは混ぜておく。
2. アルミホイルを広げ、野菜を敷き詰め、その上に鮭を乗せる。
3. 味噌ダレを全体にかけ、一番上にバターを乗せる。
4. ホイルの口をしっかり閉じ、フライパンに並べる。水100ml（分量外）を注ぎ、蓋をして中火で10〜12分蒸し焼きにする。
5. ホイルを開け、全体を混ぜながら食べる。",374,24.7,19.7,24.7,dinner,
基本のぶり大根,味が染み込んだ大根が主役。冬の定番メニュー。,"ぶり切り身 2切れ
大根 1/3本
生姜 1片
水 300ml
【A】酒 100ml
【A】醤油 大さじ3
【A】みりん 大さじ2
【A】砂糖 大さじ2","1. 大根は2cm厚さの半月切りにし、米のとぎ汁（または水）で竹串が通るまで下茹でする。
2. ぶりは一口大に切り、熱湯を回しかけて霜降りにし、冷水で洗って臭みを取る。
3. 鍋に水、【A】、スライスした生姜を入れて煮立たせる。
4. ぶりと大根を入れ、落とし蓋をして中火で20分煮込む。
5. 一度冷まして味を含ませてから、温め直して食べるのがおすすめ。",463,29.0,24.1,33.8,dinner,
豆腐ハンバーグのおろしポン酢,お肉少なめでヘルシーなのに満足感のある一品。,"鶏ひき肉 150g
木綿豆腐 150g
玉ねぎ 1/4個
パン粉 大さじ3
片栗粉 大さじ1
大根おろし 適量
ポン酢 適量
大葉 2枚","1. 木綿豆腐はキッチンペーパーに包み、レンジで2分加熱して水切りする。
2. 玉ねぎはみじん切りにし、レンジで1分加熱して冷ます。
3. ボウルにひき肉、豆腐、玉ねぎ、パン粉、片栗粉、塩コショウを入れ、粘りが出るまでよく捏ねる。
4. 小判型に成形し、油を引いたフライパンで焼く。焼き色がついたら裏返し、蓋をして弱火で5分蒸し焼きにする。
5. 皿に盛り、大葉と大根おろしを乗せ、ポン酢をかける。",404,27.0,17.3,28.9,dinner,
鮭のちゃんちゃん焼き風ホイル焼き,洗い物削減！味噌バターが野菜と魚に絡む北海道の味。,"生鮭 1切れ
キャベツ 2枚
玉ねぎ 1/4個
人参 3cm
しめじ 1/4パック
バター 10g
【味噌ダレ】味噌 大さじ1、みりん 大さじ1、酒 小さじ1","1. キャベツはざく切り、玉ねぎはスライス、人参は短冊切りにする。味噌ダレは混ぜておく。
2. アルミホイルを広げ、野菜を敷き詰め、その上に鮭を乗せる。
3. 味噌ダレを全体にかけ、一番上にバターを乗せる。
4. ホイルの口をしっかり閉じ、フライパンに並べる。水100ml（分量外）を注ぎ、蓋をして中火で10〜12分蒸し焼きにする。
5. ホイルを開け、全体を混ぜながら食べる。",390,25.7,20.6,25.7,dinner,
基本のぶり大根,味が染み込んだ大根が主役。冬の定番メニュー。,"ぶり切り身 2切れ
大根 1/3本
生姜 1片
水 300ml
【A】酒 100ml
【A】醤油 大さじ3
【A】みりん 大さじ2
【A】砂糖 大さじ2","1. 大根は2cm厚さの半月切りにし、米のとぎ汁（または水）で竹串が通るまで下茹でする。
2. ぶりは一口大に切り、熱湯を回しかけて霜降りにし、冷水で洗って臭みを取る。
3. 鍋に水、【A】、スライスした生姜を入れて煮立たせる。
4. ぶりと大根を入れ、落とし蓋をして中火で20分煮込む。
5. 一度冷まして味を含ませてから、温め直して食べるのがおすすめ。",475,29.7,24.8,34.7,dinner,
豆腐ハンバーグのおろしポン酢,お肉少なめでヘルシーなのに満足感のある一品。,"鶏ひき肉 150g
木綿豆腐 150g
玉ねぎ 1/4個
パン粉 大さじ3
片栗粉 大さじ1
大根おろし 適量
ポン酢 適量
大葉 2枚","1. 木綿豆腐はキッチンペーパーに包み、レンジで2分加熱して水切りする。
2. 玉ねぎはみじん切りにし、レンジで1分加熱して冷ます。
3. ボウルにひき肉、豆腐、玉ねぎ、パン粉、片栗粉、塩コショウを入れ、粘りが出るまでよく捏ねる。
4. 小判型に成形し、油を引いたフライパンで焼く。焼き色がついたら裏返し、蓋をして弱火で5分蒸し焼きにする。
5. 皿に盛り、大葉と大根おろしを乗せ、ポン酢をかける。",406,27.1,17.4,29.1,dinner,
鮭のちゃんちゃん焼き風ホイル焼き,洗い物削減！味噌バターが野菜と魚に絡む北海道の味。,"生鮭 1切れ
キャベツ 2枚
玉ねぎ 1/4個
人参 3cm
しめじ 1/4パック
バター 10g
【味噌ダレ】味噌 大さじ1、みりん 大さじ1、酒 小さじ1","1. キャベツはざく切り、玉ねぎはスライス、人参は短冊切りにする。味噌ダレは混ぜておく。
2. アルミホイルを広げ、野菜を敷き詰め、その上に鮭を乗せる。
3. 味噌ダレを全体にかけ、一番上にバターを乗せる。
4. ホイルの口をしっかり閉じ、フライパンに並べる。水100ml（分量外）を注ぎ、蓋をして中火で10〜12分蒸し焼きにする。
5. ホイルを開け、全体を混ぜながら食べる。",376,24.7,19.8,24.7,dinner,
基本のぶり大根,味が染み込んだ大根が主役。冬の定番メニュー。,"ぶり切り身 2切れ
大根 1/3本
生姜 1片
水 300ml
【A】酒 100ml
【A】醤油 大さじ3
【A】みりん 大さじ2
【A】砂糖 大さじ2","1. 大根は2cm厚さの半月切りにし、米のとぎ汁（または水）で竹串が通るまで下茹でする。
2. ぶりは一口大に切り、熱湯を回しかけて霜降りにし、冷水で洗って臭みを取る。
3. 鍋に水、【A】、スライスした生姜を入れて煮立たせる。
4. ぶりと大根を入れ、落とし蓋をして中火で20分煮込む。
5. 一度冷まして味を含ませてから、温め直して食べるのがおすすめ。",497,31.1,25.9,36.3,dinner,
豆腐ハンバーグのおろしポン酢,お肉少なめでヘルシーなのに満足感のある一品。,"鶏ひき肉 150g
木綿豆腐 150g
玉ねぎ 1/4個
パン粉 大さじ3
片栗粉 大さじ1
大根おろし 適量
ポン酢 適量
大葉 2枚","1. 木綿豆腐はキッチンペーパーに包み、レンジで2分加熱して水切りする。
2. 玉ねぎはみじん切りにし、レンジで1分加熱して冷ます。
3. ボウルにひき肉、豆腐、玉ねぎ、パン粉、片栗粉、塩コショウを入れ、粘りが出るまでよく捏ねる。
4. 小判型に成形し、油を引いたフライパンで焼く。焼き色がついたら裏返し、蓋をして弱火で5分蒸し焼きにする。
5. 皿に盛り、大葉と大根おろしを乗せ、ポン酢をかける。",408,27.2,17.5,29.2,dinner,
鮭のちゃんちゃん焼き風ホイル焼き,洗い物削減！味噌バターが野菜と魚に絡む北海道の味。,"生鮭 1切れ
キャベツ 2枚
玉ねぎ 1/4個
人参 3cm
しめじ 1/4パック
バター 10g
【味噌ダレ】味噌 大さじ1、みりん 大さじ1、酒 小さじ1","1. キャベツはざく切り、玉ねぎはスライス、人参は短冊切りにする。味噌ダレは混ぜておく。
2. アルミホイルを広げ、野菜を敷き詰め、その上に鮭を乗せる。
3. 味噌ダレを全体にかけ、一番上にバターを乗せる。
4. ホイルの口をしっかり閉じ、フライパンに並べる。水100ml（分量外）を注ぎ、蓋をして中火で10〜12分蒸し焼きにする。
5. ホイルを開け、全体を混ぜながら食べる。",375,24.7,19.8,24.7,dinner,
基本のぶり大根,味が染み込んだ大根が主役。冬の定番メニュー。,"ぶり切り身 2切れ
大根 1/3本
生姜 1片
水 300ml
【A】酒 100ml
【A】醤油 大さじ3
【A】みりん 大さじ2
【A】砂糖 大さじ2","1. 大根は2cm厚さの半月切りにし、米のとぎ汁（または水）で竹串が通るまで下茹でする。
2. ぶりは一口大に切り、熱湯を回しかけて霜降りにし、冷水で洗って臭みを取る。
3. 鍋に水、【A】、スライスした生姜を入れて煮立たせる。
4. ぶりと大根を入れ、落とし蓋をして中火で20分煮込む。
5. 一度冷まして味を含ませてから、温め直して食べるのがおすすめ。",459,28.7,23.9,33.5,dinner,
豆腐ハンバーグのおろしポン酢,お肉少なめでヘルシーなのに満足感のある一品。,"鶏ひき肉 150g
木綿豆腐 150g
玉ねぎ 1/4個
パン粉 大さじ3
片栗粉 大さじ1
大根おろし 適量
ポン酢 適量
大葉 2枚","1. 木綿豆腐はキッチンペーパーに包み、レンジで2分加熱して水切りする。
2. 玉ねぎはみじん切りにし、レンジで1分加熱して冷ます。
3. ボウルにひき肉、豆腐、玉ねぎ、パン粉、片栗粉、塩コショウを入れ、粘りが出るまでよく捏ねる。
4. 小判型に成形し、油を引いたフライパンで焼く。焼き色がついたら裏返し、蓋をして弱火で5分蒸し焼きにする。
5. 皿に盛り、大葉と大根おろしを乗せ、ポン酢をかける。",439,29.3,18.9,31.4,dinner,
鮭のちゃんちゃん焼き風ホイル焼き,洗い物削減！味噌バターが野菜と魚に絡む北海道の味。,"生鮭 1切れ
キャベツ 2枚
玉ねぎ 1/4個
人参 3cm
しめじ 1/4パック
バター 10g
【味噌ダレ】味噌 大さじ1、みりん 大さじ1、酒 小さじ1","1. キャベツはざく切り、玉ねぎはスライス、人参は短冊切りにする。味噌ダレは混ぜておく。
2. アルミホイルを広げ、野菜を敷き詰め、その上に鮭を乗せる。
3. 味噌ダレを全体にかけ、一番上にバターを乗せる。
4. ホイルの口をしっかり閉じ、フライパンに並べる。水100ml（分量外）を注ぎ、蓋をして中火で10〜12分蒸し焼きにする。
5. ホイルを開け、全体を混ぜながら食べる。",393,25.9,20.7,25.9,dinner,
基本のぶり大根,味が染み込んだ大根が主役。冬の定番メニュー。,"ぶり切り身 2切れ
大根 1/3本
生姜 1片
水 300ml
【A】酒 100ml
【A】醤油 大さじ3
【A】みりん 大さじ2
【A】砂糖 大さじ2","1. 大根は2cm厚さの半月切りにし、米のとぎ汁（または水）で竹串が通るまで下茹でする。
2. ぶりは一口大に切り、熱湯を回しかけて霜降りにし、冷水で洗って臭みを取る。
3. 鍋に水、【A】、スライスした生姜を入れて煮立たせる。
4. ぶりと大根を入れ、落とし蓋をして中火で20分煮込む。
5. 一度冷まして味を含ませてから、温め直して食べるのがおすすめ。",477,29.8,24.9,34.8,dinner,
豆腐ハンバーグのおろしポン酢,お肉少なめでヘルシーなのに満足感のある一品。,"鶏ひき肉 150g
木綿豆腐 150g
玉ねぎ 1/4個
パン粉 大さじ3
片栗粉 大さじ1
大根おろし 適量
ポン酢 適量
大葉 2枚","1. 木綿豆腐はキッチンペーパーに包み、レンジで2分加熱して水切りする。
2. 玉ねぎはみじん切りにし、レンジで1分加熱して冷ます。
3. ボウルにひき肉、豆腐、玉ねぎ、パン粉、片栗粉、塩コショウを入れ、粘りが出るまでよく捏ねる。
4. 小判型に成形し、油を引いたフライパンで焼く。焼き色がついたら裏返し、蓋をして弱火で5分蒸し焼きにする。
5. 皿に盛り、大葉と大根おろしを乗せ、ポン酢をかける。",403,26.9,17.3,28.9,dinner,
鮭のちゃんちゃん焼き風ホイル焼き,洗い物削減！味噌バターが野菜と魚に絡む北海道の味。,"生鮭 1切れ
キャベツ 2枚
玉ねぎ 1/4個
人参 3cm
しめじ 1/4パック
バター 10g
【味噌ダレ】味噌 大さじ1、みりん 大さじ1、酒 小さじ1","1. キャベツはざく切り、玉ねぎはスライス、人参は短冊切りにする。味噌ダレは混ぜておく。
2. アルミホイルを広げ、野菜を敷き詰め、その上に鮭を乗せる。
3. 味噌ダレを全体にかけ、一番上にバターを乗せる。
4. ホイルの口をしっかり閉じ、フライパンに並べる。水100ml（分量外）を注ぎ、蓋をして中火で10〜12分蒸し焼きにする。
5. ホイルを開け、全体を混ぜながら食べる。",374,24.7,19.7,24.7,dinner,
基本のぶり大根,味が染み込んだ大根が主役。冬の定番メニュー。,"ぶり切り身 2切れ
大根 1/3本
生姜 1片
水 300ml
【A】酒 100ml
【A】醤油 大さじ3
【A】みりん 大さじ2
【A】砂糖 大さじ2","1. 大根は2cm厚さの半月切りにし、米のとぎ汁（または水）で竹串が通るまで下茹でする。
2. ぶりは一口大に切り、熱湯を回しかけて霜降りにし、冷水で洗って臭みを取る。
3. 鍋に水、【A】、スライスした生姜を入れて煮立たせる。
4. ぶりと大根を入れ、落とし蓋をして中火で20分煮込む。
5. 一度冷まして味を含ませてから、温め直して食べるのがおすすめ。",484,30.3,25.2,35.3,dinner,
豆腐ハンバーグのおろしポン酢,お肉少なめでヘルシーなのに満足感のある一品。,"鶏ひき肉 150g
木綿豆腐 150g
玉ねぎ 1/4個
パン粉 大さじ3
片栗粉 大さじ1
大根おろし 適量
ポン酢 適量
大葉 2枚","1. 木綿豆腐はキッチンペーパーに包み、レンジで2分加熱して水切りする。
2. 玉ねぎはみじん切りにし、レンジで1分加熱して冷ます。
3. ボウルにひき肉、豆腐、玉ねぎ、パン粉、片栗粉、塩コショウを入れ、粘りが出るまでよく捏ねる。
4. 小判型に成形し、油を引いたフライパンで焼く。焼き色がついたら裏返し、蓋をして弱火で5分蒸し焼きにする。
5. 皿に盛り、大葉と大根おろしを乗せ、ポン酢をかける。",414,27.6,17.7,29.6,dinner,
鮭のちゃんちゃん焼き風ホイル焼き,洗い物削減！味噌バターが野菜と魚に絡む北海道の味。,"生鮭 1切れ
キャベツ 2枚
玉ねぎ 1/4個
人参 3cm
しめじ 1/4パック
バター 10g
【味噌ダレ】味噌 大さじ1、みりん 大さじ1、酒 小さじ1","1. キャベツはざく切り、玉ねぎはスライス、人参は短冊切りにする。味噌ダレは混ぜておく。
2. アルミホイルを広げ、野菜を敷き詰め、その上に鮭を乗せる。
3. 味噌ダレを全体にかけ、一番上にバターを乗せる。
4. ホイルの口をしっかり閉じ、フライパンに並べる。水100ml（分量外）を注ぎ、蓋をして中火で10〜12分蒸し焼きにする。
5. ホイルを開け、全体を混ぜながら食べる。",372,24.5,19.6,24.5,dinner,
基本のぶり大根,味が染み込んだ大根が主役。冬の定番メニュー。,"ぶり切り身 2切れ
大根 1/3本
生姜 1片
水 300ml
【A】酒 100ml
【A】醤油 大さじ3
【A】みりん 大さじ2
【A】砂糖 大さじ2","1. 大根は2cm厚さの半月切りにし、米のとぎ汁（または水）で竹串が通るまで下茹でする。
2. ぶりは一口大に切り、熱湯を回しかけて霜降りにし、冷水で洗って臭みを取る。
3. 鍋に水、【A】、スライスした生姜を入れて煮立たせる。
4. ぶりと大根を入れ、落とし蓋をして中火で20分煮込む。
5. 一度冷まして味を含ませてから、温め直して食べるのがおすすめ。",502,31.4,26.2,36.6,dinner,
豆腐ハンバーグのおろしポン酢,お肉少なめでヘルシーなのに満足感のある一品。,"鶏ひき肉 150g
木綿豆腐 150g
玉ねぎ 1/4個
パン粉 大さじ3
片栗粉 大さじ1
大根おろし 適量
ポン酢 適量
大葉 2枚","1. 木綿豆腐はキッチンペーパーに包み、レンジで2分加熱して水切りする。
2. 玉ねぎはみじん切りにし、レンジで1分加熱して冷ます。
3. ボウルにひき肉、豆腐、玉ねぎ、パン粉、片栗粉、塩コショウを入れ、粘りが出るまでよく捏ねる。
4. 小判型に成形し、油を引いたフライパンで焼く。焼き色がついたら裏返し、蓋をして弱火で5分蒸し焼きにする。
5. 皿に盛り、大葉と大根おろしを乗せ、ポン酢をかける。",421,28.1,18.1,30.1,dinner,
鮭のちゃんちゃん焼き風ホイル焼き,洗い物削減！味噌バターが野菜と魚に絡む北海道の味。,"生鮭 1切れ
キャベツ 2枚
玉ねぎ 1/4個
人参 3cm
しめじ 1/4パック
バター 10g
【味噌ダレ】味噌 大さじ1、みりん 大さじ1、酒 小さじ1","1. キャベツはざく切り、玉ねぎはスライス、人参は短冊切りにする。味噌ダレは混ぜておく。
2. アルミホイルを広げ、野菜を敷き詰め、その上に鮭を乗せる。
3. 味噌ダレを全体にかけ、一番上にバターを乗せる。
4. ホイルの口をしっかり閉じ、フライパンに並べる。水100ml（分量外）を注ぎ、蓋をして中火で10〜12分蒸し焼きにする。
5. ホイルを開け、全体を混ぜながら食べる。",390,25.7,20.6,25.7,dinner,
基本のぶり大根,味が染み込んだ大根が主役。冬の定番メニュー。,"ぶり切り身 2切れ
大根 1/3本
生姜 1片
水 300ml
【A】酒 100ml
【A】醤油 大さじ3
【A】みりん 大さじ2
【A】砂糖 大さじ2","1. 大根は2cm厚さの半月切りにし、米のとぎ汁（または水）で竹串が通るまで下茹でする。
2. ぶりは一口大に切り、熱湯を回しかけて霜降りにし、冷水で洗って臭みを取る。
3. 鍋に水、【A】、スライスした生姜を入れて煮立たせる。
4. ぶりと大根を入れ、落とし蓋をして中火で20分煮込む。
5. 一度冷まして味を含ませてから、温め直して食べるのがおすすめ。",485,30.4,25.3,35.4,dinner,
豆腐ハンバーグのおろしポン酢,お肉少なめでヘルシーなのに満足感のある一品。,"鶏ひき肉 150g
木綿豆腐 150g
玉ねぎ 1/4個
パン粉 大さじ3
片栗粉 大さじ1
大根おろし 適量
ポン酢 適量
大葉 2枚","1. 木綿豆腐はキッチンペーパーに包み、レンジで2分加熱して水切りする。
2. 玉ねぎはみじん切りにし、レンジで1分加熱して冷ます。
3. ボウルにひき肉、豆腐、玉ねぎ、パン粉、片栗粉、塩コショウを入れ、粘りが出るまでよく捏ねる。
4. 小判型に成形し、油を引いたフライパンで焼く。焼き色がついたら裏返し、蓋をして弱火で5分蒸し焼きにする。
5. 皿に盛り、大葉と大根おろしを乗せ、ポン酢をかける。",410,27.3,17.6,29.3,dinner,
鮭のちゃんちゃん焼き風ホイル焼き,洗い物削減！味噌バターが野菜と魚に絡む北海道の味。,"生鮭 1切れ
キャベツ 2枚
玉ねぎ 1/4個
人参 3cm
しめじ 1/4パック
バター 10g
【味噌ダレ】味噌 大さじ1、みりん 大さじ1、酒 小さじ1","1. キャベツはざく切り、玉ねぎはスライス、人参は短冊切りにする。味噌ダレは混ぜておく。
2. アルミホイルを広げ、野菜を敷き詰め、その上に鮭を乗せる。
3. 味噌ダレを全体にかけ、一番上にバターを乗せる。
4. ホイルの口をしっかり閉じ、フライパンに並べる。水100ml（分量外）を注ぎ、蓋をして中火で10〜12分蒸し焼きにする。
5. ホイルを開け、全体を混ぜながら食べる。",368,24.3,19.4,24.3,dinner,
基本のぶり大根,味が染み込んだ大根が主役。冬の定番メニュー。,"ぶり切り身 2切れ
大根 1/3本
生姜 1片
水 300ml
【A】酒 100ml
【A】醤油 大さじ3
【A】みりん 大さじ2
【A】砂糖 大さじ2","1. 大根は2cm厚さの半月切りにし、米のとぎ汁（または水）で竹串が通るまで下茹でする。
2. ぶりは一口大に切り、熱湯を回しかけて霜降りにし、冷水で洗って臭みを取る。
3. 鍋に水、【A】、スライスした生姜を入れて煮立たせる。
4. ぶりと大根を入れ、落とし蓋をして中火で20分煮込む。
5. 一度冷まして味を含ませてから、温め直して食べるのがおすすめ。",492,30.8,25.6,35.9,dinner,
